,ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
54,734209,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,14,1772.0,0,0.0,1.0,1.0
55,734210,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,13,13329.0,4,5.629999995,1.0,1.0
56,734215,26/08/2017,26/08/2017,936,108655,30-34,M,15,19,17,13659.0,3,3.840000033,1.0,0.0
57,734243,26/08/2017,26/08/2017,936,108660,30-34,M,21,23,24,739.0,0,0.0,1.0,1.0
58,734266,26/08/2017,26/08/2017,936,108664,30-34,M,25,30,27,605.0,0,0.0,1.0,0.0
59,734272,26/08/2017,26/08/2017,936,108665,30-34,M,26,32,29,1030.0,0,0.0,1.0,0.0
60,734290,26/08/2017,26/08/2017,936,108668,30-34,M,29,32,35,5374.0,1,1.039999962,4.0,0.0
61,734313,26/08/2017,26/08/2017,936,108672,30-34,M,36,38,38,790.0,0,0.0,1.0,1.0
62,734314,27/08/2017,27/08/2017,936,108672,30-34,M,36,38,38,962.0,0,0.0,1.0,0.0
63,734352,27/08/2017,27/08/2017,936,108678,35-39,M,10,11,16,4423.0,1,1.4600000380000002,1.0,1.0
64,734361,29/08/2017,29/08/2017,936,108680,35-39,M,16,19,19,12382.0,2,2.839999914,1.0,1.0
65,734381,29/08/2017,29/08/2017,936,108683,35-39,M,20,25,24,2938.0,1,1.350000024,1.0,1.0
66,734399,28/08/2017,28/08/2017,936,108686,35-39,M,23,24,27,239.0,0,0.0,1.0,0.0
67,734418,29/08/2017,29/08/2017,936,108689,35-39,M,26,27,28,591.0,0,0.0,1.0,0.0
68,734421,29/08/2017,29/08/2017,936,108690,35-39,M,27,29,32,10332.0,4,5.75,1.0,0.0
69,734427,29/08/2017,29/08/2017,936,108691,35-39,M,28,29,31,8259.0,3,3.9800000189999998,1.0,0.0
70,734433,29/08/2017,29/08/2017,936,108692,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0
71,734582,29/08/2017,29/08/2017,936,108716,40-44,M,29,33,33,7709.0,2,1.320000052,2.0,0.0
72,734605,28/08/2017,28/08/2017,936,108720,40-44,M,36,37,41,834.0,0,0.0,1.0,0.0
73,734660,28/08/2017,28/08/2017,936,108729,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0
74,734666,28/08/2017,28/08/2017,936,108730,45-49,M,19,24,20,371.0,0,0.0,1.0,0.0
75,734726,28/08/2017,28/08/2017,936,108740,45-49,M,29,30,35,10466.0,3,4.090000033,1.0,0.0
76,734737,27/08/2017,27/08/2017,936,108742,45-49,M,31,37,33,839.0,0,0.0,1.0,0.0
77,734785,28/08/2017,28/08/2017,936,108750,30-34,F,10,13,13,5576.0,1,1.5299999709999998,1.0,1.0
78,734794,28/08/2017,28/08/2017,936,108752,30-34,F,16,19,17,4010.0,0,0.0,1.0,0.0
79,734796,28/08/2017,28/08/2017,936,108752,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0
80,734800,28/08/2017,28/08/2017,936,108753,30-34,F,18,20,20,1635.0,0,0.0,1.0,0.0
81,734803,28/08/2017,28/08/2017,936,108753,30-34,F,18,19,21,1631.0,0,0.0,1.0,0.0
82,734852,28/08/2017,28/08/2017,936,108761,30-34,F,26,30,29,13479.0,3,4.25,1.0,0.0
83,734854,19/08/2017,19/08/2017,936,108762,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0
84,734856,19/08/2017,19/08/2017,936,108762,30-34,F,27,28,32,5453.0,1,1.3899999859999999,1.0,1.0
85,734866,20/08/2017,20/08/2017,936,108764,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0
86,734881,20/08/2017,20/08/2017,936,108766,30-34,F,31,32,34,4259.0,1,1.570000052,1.0,1.0
87,734901,20/08/2017,20/08/2017,936,108770,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0
88,734903,20/08/2017,20/08/2017,936,108770,30-34,F,64,69,67,5323.0,1,1.289999962,1.0,1.0
89,734925,20/08/2017,20/08/2017,936,108774,35-39,F,10,11,12,5024.0,1,1.4099999669999999,1.0,1.0
90,734939,20/08/2017,20/08/2017,936,108776,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0
91,734968,20/08/2017,20/08/2017,936,108781,35-39,F,22,25,27,8504.0,3,3.340000093,1.0,1.0
92,734999,20/08/2017,20/08/2017,936,108786,35-39,F,27,32,32,20277.0,6,8.050000072000001,1.0,0.0
93,735014,19/08/2017,19/08/2017,936,108788,35-39,F,29,34,30,12403.0,4,5.210000038,1.0,1.0
94,735032,19/08/2017,19/08/2017,936,108791,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0
95,735033,18/08/2017,18/08/2017,936,108792,35-39,F,36,40,40,652.0,0,0.0,0.0,0.0
96,735043,18/08/2017,18/08/2017,936,108793,35-39,F,63,65,69,1357.0,0,0.0,1.0,1.0
97,735048,18/08/2017,18/08/2017,936,108794,35-39,F,64,65,68,1393.0,0,0.0,1.0,0.0
98,735065,19/08/2017,19/08/2017,936,108797,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0
99,735109,19/08/2017,19/08/2017,936,108804,40-44,F,21,26,25,708.0,0,0.0,1.0,1.0
100,735140,19/08/2017,19/08/2017,936,108809,40-44,F,26,27,31,6907.0,2,2.349999964,1.0,0.0
101,735143,19/08/2017,19/08/2017,936,108810,40-44,F,27,28,30,39035.0,13,19.32999957,1.0,0.0
102,735151,19/08/2017,19/08/2017,936,108811,40-44,F,28,30,31,926.0,0,0.0,1.0,0.0
103,735184,19/08/2017,19/08/2017,936,108817,40-44,F,63,66,67,4412.0,1,1.4500000480000002,1.0,0.0
104,735189,21/08/2017,21/08/2017,936,108818,40-44,F,64,65,66,9965.0,3,4.050000072,1.0,0.0
105,735213,21/08/2017,21/08/2017,936,108822,45-49,F,10,16,11,73634.0,23,32.97999978,1.0,0.0
106,735220,18/08/2017,18/08/2017,936,108823,45-49,F,15,17,17,69708.0,20,31.28999949,1.0,0.0
107,735242,18/08/2017,18/08/2017,936,108826,45-49,F,19,25,21,530.0,0,0.0,1.0,0.0
108,735247,18/08/2017,18/08/2017,936,108827,45-49,F,20,24,25,14257.0,6,8.789999962000001,1.0,0.0
109,735289,18/08/2017,18/08/2017,936,108834,45-49,F,27,30,30,20362.0,5,9.119999886,1.0,1.0
110,735290,18/08/2017,18/08/2017,936,108834,45-49,F,27,29,33,12215.0,4,6.26000011,1.0,0.0
111,735298,18/08/2017,18/08/2017,936,108836,45-49,F,29,31,32,85412.0,28,38.63999999,2.0,1.0
112,736869,18/08/2017,18/08/2017,936,109448,30-34,M,2,6,8,2338.0,1,0.239999995,1.0,0.0
113,736890,18/08/2017,18/08/2017,936,109451,30-34,M,15,16,20,2522.0,0,0.0,1.0,0.0
114,736893,18/08/2017,18/08/2017,936,109452,30-34,M,16,17,17,3587.0,0,0.0,1.0,0.0
115,736977,18/08/2017,18/08/2017,936,109470,30-34,M,27,30,28,1273.0,0,0.0,1.0,0.0
116,736988,21/08/2017,21/08/2017,936,109472,30-34,M,28,29,29,3891.0,1,1.090000033,1.0,0.0
