,ad_id,start_date,reporting_end,age,gender,impressions,cost
518,1121091,28/08/2017,28/08/2017,30-34,M,1194718,254.049996
519,1121092,28/08/2017,28/08/2017,30-34,M,637648,122.4
520,1121094,28/08/2017,28/08/2017,30-34,M,24362,0
521,1121095,28/08/2017,28/08/2017,30-34,M,459690,86.33000112
522,1121096,28/08/2017,28/08/2017,30-34,M,750060,161.9099991
523,1121097,29/08/2017,29/08/2017,30-34,M,30068,1.820000052
524,1121098,29/08/2017,29/08/2017,30-34,M,1267550,236.7699986
525,1121100,29/08/2017,29/08/2017,30-34,M,3052003,639.9499981
526,1121101,28/08/2017,28/08/2017,30-34,M,29945,1.590000033
527,1121102,25/08/2017,25/08/2017,30-34,M,357856,52.97000015
528,1121104,25/08/2017,25/08/2017,30-34,M,2080666,360.1500015
529,1121105,26/08/2017,26/08/2017,30-34,M,145999,16.5200001
530,1121107,26/08/2017,26/08/2017,30-34,M,32616,1.539999962
531,1121108,26/08/2017,26/08/2017,30-34,M,984521,163.8999972
532,1121110,26/08/2017,26/08/2017,30-34,M,880814,210.3600006
533,1121111,26/08/2017,26/08/2017,30-34,M,182452,35.73000026
534,1121113,27/08/2017,27/08/2017,30-34,M,894911,215.8399994
535,1121114,27/08/2017,27/08/2017,30-34,M,31349,3.800000072
536,1121115,26/08/2017,26/08/2017,30-34,M,410310,96.80000055
537,1121116,26/08/2017,26/08/2017,30-34,M,572450,157.329998
538,1121117,26/08/2017,26/08/2017,30-34,M,98759,26.56999946
539,1121119,25/08/2017,25/08/2017,30-34,M,345371,93.08999991
540,1121121,25/08/2017,25/08/2017,30-34,M,323899,78.9200002
541,1121122,25/08/2017,25/08/2017,30-34,M,399199,103.1500002
542,1121123,25/08/2017,25/08/2017,30-34,M,171202,36.53000021
543,1121124,26/08/2017,26/08/2017,30-34,M,128386,28.85000002
544,1121125,26/08/2017,26/08/2017,30-34,M,1034284,257.7099986
545,1121126,26/08/2017,26/08/2017,30-34,M,45923,7.220000148
546,1121127,26/08/2017,26/08/2017,30-34,M,40873,7.899999976
547,1121128,26/08/2017,26/08/2017,30-34,M,286553,62.06000042
548,1121129,28/08/2017,28/08/2017,30-34,M,20618,2.099999905
549,1121131,28/08/2017,28/08/2017,30-34,M,83591,14.14000046
550,1121132,21/08/2017,21/08/2017,30-34,M,114923,23.73000026
551,1121133,21/08/2017,21/08/2017,30-34,M,25002,1.710000038
552,1121134,21/08/2017,21/08/2017,30-34,M,68905,9.440000057
553,1121136,21/08/2017,21/08/2017,30-34,M,169588,27.79999924
554,1121138,21/08/2017,21/08/2017,30-34,M,328991,67.65000057
555,1121141,21/08/2017,21/08/2017,30-34,M,23198,2.980000019
556,1121142,21/08/2017,21/08/2017,30-34,M,26890,3.24000001
557,1121143,21/08/2017,21/08/2017,30-34,M,221695,52.26000011
558,1121152,20/08/2017,20/08/2017,30-34,M,88443,13.0400002
559,1121153,20/08/2017,20/08/2017,30-34,M,187856,38.38999975
560,1121164,19/08/2017,19/08/2017,30-34,M,570699,138.7699997
561,1121167,19/08/2017,19/08/2017,30-34,M,1063508,260.3800013
562,1121168,19/08/2017,19/08/2017,30-34,M,50523,8.549999952
563,1121172,20/08/2017,20/08/2017,30-34,M,87935,15.63000023
564,1121173,20/08/2017,20/08/2017,30-34,M,278225,60.19999957
565,1121175,20/08/2017,20/08/2017,30-34,M,209461,34.19000006
566,1121177,20/08/2017,20/08/2017,30-34,M,26316,3.24000001
567,1121181,20/08/2017,20/08/2017,30-34,M,41030,5.140000105
568,1121182,20/08/2017,20/08/2017,30-34,M,876671,216.5599982
569,1121183,21/08/2017,21/08/2017,30-34,M,399392,93.07000041
570,1121184,22/08/2017,22/08/2017,30-34,M,283858,56.05999923
571,1121185,23/08/2017,23/08/2017,30-34,M,260699,54.09999871
572,1121193,23/08/2017,23/08/2017,30-34,M,57781,7.800000072
573,1121195,23/08/2017,23/08/2017,30-34,M,38757,5.220000029
574,1121196,23/08/2017,23/08/2017,30-34,M,1392288,358.5500029
575,1121197,23/08/2017,23/08/2017,30-34,M,1109387,280.9899995
576,1121202,28/08/2017,28/08/2017,30-34,M,581281,115.1200008
577,1121203,23/08/2017,23/08/2017,30-34,M,1048861,219.770002
578,1121205,23/08/2017,23/08/2017,30-34,M,297452,52.01999986
579,1121206,23/08/2017,23/08/2017,30-34,M,227925,35.30999994
580,1121207,23/08/2017,23/08/2017,30-34,M,374175,63.32000101
581,1121211,23/08/2017,23/08/2017,30-34,M,223586,54.24000037
582,1121213,22/08/2017,22/08/2017,30-34,M,283170,65.22999996
583,1121215,22/08/2017,22/08/2017,30-34,M,41636,4.210000038
584,1121216,22/08/2017,22/08/2017,30-34,M,198658,48.60999978
585,1121220,22/08/2017,22/08/2017,30-34,M,100596,13.91999972
586,1121223,22/08/2017,22/08/2017,30-34,M,64020,11.0599997
587,1121224,23/08/2017,23/08/2017,30-34,M,14289,0
588,1121229,22/08/2017,22/08/2017,30-34,M,404866,87.42000079
589,1121231,22/08/2017,22/08/2017,30-34,M,22256,1.659999967
590,1121233,22/08/2017,22/08/2017,30-34,M,57690,6.74000001
591,1121241,27/08/2017,27/08/2017,30-34,M,24952,8.220000267
592,1121242,27/08/2017,27/08/2017,30-34,M,38900,5.580000043
593,1121243,22/08/2017,22/08/2017,30-34,M,53520,9.2299999
594,1121244,22/08/2017,22/08/2017,30-34,M,181683,34.22999972
595,1121245,22/08/2017,22/08/2017,30-34,M,29185,3.149999976
596,1121246,22/08/2017,22/08/2017,30-34,M,105047,20.2099994
597,1121250,22/08/2017,22/08/2017,30-34,M,287976,59.43999982
598,1121251,23/08/2017,23/08/2017,30-34,M,212175,38.58999968
599,1121252,23/08/2017,23/08/2017,30-34,M,11139,0
600,1121254,22/08/2017,22/08/2017,30-34,M,124005,21.84999979
601,1121255,22/08/2017,22/08/2017,30-34,M,20423,1.960000038
602,1121261,22/08/2017,22/08/2017,30-34,M,103001,22.32000005
603,1121262,30/08/2017,30/08/2017,30-34,M,447420,110.2399991
604,1121263,30/08/2017,30/08/2017,30-34,M,156101,29.75000048
605,1121264,30/08/2017,30/08/2017,30-34,M,93015,18.47000015
606,1121265,22/08/2017,22/08/2017,30-34,M,145398,36.24000025
607,1121269,22/08/2017,22/08/2017,30-34,M,296413,76.43999958
608,1121273,22/08/2017,22/08/2017,30-34,M,9370,0
609,1121274,22/08/2017,22/08/2017,30-34,M,63785,11.80000019
610,1121275,22/08/2017,22/08/2017,30-34,M,118522,26.81999981
611,1121276,22/08/2017,22/08/2017,30-34,M,240123,65.67000115
612,1121277,23/08/2017,23/08/2017,30-34,M,169108,32.24000025
613,1121278,23/08/2017,23/08/2017,30-34,M,1044442,245.5999999
614,1121279,24/08/2017,24/08/2017,30-34,M,93891,17.6400001
615,1121282,24/08/2017,24/08/2017,30-34,M,185823,38.54999936
616,1121284,24/08/2017,24/08/2017,30-34,M,175631,40.75999951
617,1121285,24/08/2017,24/08/2017,30-34,M,37187,6.370000005
618,1121286,24/08/2017,24/08/2017,30-34,M,10991,0
619,1121287,24/08/2017,24/08/2017,30-34,M,344618,89.76000047
620,1121289,24/08/2017,24/08/2017,35-39,M,98066,16.1500001
621,1121290,24/08/2017,24/08/2017,35-39,M,770749,189.1299984
622,1121291,24/08/2017,24/08/2017,35-39,M,52553,8.529999852
623,1121292,23/08/2017,23/08/2017,35-39,M,362296,67.77000129
624,1121293,23/08/2017,23/08/2017,35-39,M,427729,96.8999989
625,1121296,23/08/2017,23/08/2017,35-39,M,180351,37.13000011
